id,authorDisplayName,textOriginal,publishedAt
1254810965612232704,AUI.,"#แว่นตาหน้ากากใส face shield กันเชื้อโควิด19 😎 
วัสดุ เป็น พลาสติกใส แข็งแรง....
ทำความสะอาดได้
ราคา  1 อัน  120.- บาท 💥💥💥 
6 อันๆละ  100.- บาท  
 #แว่นตา3m #แว่นตากันโคโรน่า #แว่นตากันเชื้อโรค #หน้ากากอนามัย #เจลแอลกอฮอล์ #หน้ากาก #คั่นกู #brightwin
 #คั่นกูEP10 https://t.co/h16PbkteK8",Mon Apr 27 16:33:42 +0000 2020
1254810957982740481,Panpan​,เมื่อไหร่จะวันศุก​ร์คะ​ น้องรอม่ายหว่ายล้าวววววว😭 #คั่นกู,Mon Apr 27 16:33:40 +0000 2020
1254810697763942400,Marimo,"แค่บังเอิญ​ 😂😂😂
#ไบร์ทวิน
#bbrigthvc #winmetawin​ #snowballpower​ #คั่นกู #2getherseries  #เพราะเราคู่กัน https://t.co/vlZrokNFkd",Mon Apr 27 16:32:38 +0000 2020
1254809869510574084,🦄 jeyabag ⛅️ ขนมเปี๊ยะลาวาไข่เค็ม,"✨🍫 แป้งยืดดด ช็อกหนึบหนับ ฟินม้ากกก 😍😍

ว่าง 17 กล่องนะคะ
ทางร้านใช้ช็อกแท้ ไม่ผสมน้ำตาล🍫หวานกำลังดี ลูกใหญ่มาก
1กล่อง 120
2กล่อง 220 
3กล่อง 300

มีนัดรับนะคะ 🍫🍫💛#ขนม #ขนมเปี๊ยะลาวา #คนไทยไม่ทิ้งกัน #เมนูกักตัว #คั่นกู #ไบร์ทวิน  #รีวิวเซเว่น #ของดีบอกต่อ 
#อกเกือบหักEP2 https://t.co/rqAzefRpan",Mon Apr 27 16:29:20 +0000 2020
1254808741964320771,レーズンshe,"คืนนี้ มึงนอนกับกูนะ😚

นี่คือผลลัพธ์ของการอัพไอจีของคุณกาตุ่ย
ภาพที่ลอยมานั้น 555
ตายชั้นจะตาย ตายแล้วตายอีก โถ่วเอ่ย 555
#ไบร์ทวิน 
#สารวัตรไทน์ 
#bbrightvc
#winmetawin 
#คั่นกู https://t.co/7XCzqksfxT",Mon Apr 27 16:24:51 +0000 2020
1254808648817115140,Jayinpopper,"อยากเห็นซีนไทน์หึงแพมจนเกือบจะเลิกกับสารวัตร อยากเห็นน้องวินว่าน้องจะถ่ายทอดได้ถึงกับในนิยายเขียนไว้ไหม(ไม่รุ้ว่าในซีรีย์หึงจิงจังแค่ไหน) รอดูๆ ผลงานน้องๆนะ ชื่นชอบ ชื่นชมกับผลงานน้องๆ @winmetawin @bbrightvc @GMMTV 
#คั่นกู #เพราะเราคู่กัน2getherTheSeries",Mon Apr 27 16:24:29 +0000 2020
1254808189666656275,porjaii_Draw,"เปิดพรีออเดอร์โปสการ์ดค่าา 😊
[BV01]
• ปิดรอบ 10 พ.ค. 63 •
-ส่งของ 11 พ.ค. 63-
.
~ 40 bath/sheet ~
.
ฝากอุดหนุนโปสการ์ดของเราด้วยเน้อ ขอบคุณมากๆค่ะ 🧡
.
#2gethertheseries #2gethertheseriesfanart #brightvachirawit #คั่นกู #คั่นกูfanart #ไบร์ทวิน #ไบร์ทวชิรวิชญ์ https://t.co/mFla0jvZab",Mon Apr 27 16:22:40 +0000 2020
1254807959558750210,คูมกาตุ่ยของพี่ไบร์ท😎🤣,พี่จี้กับพี่แอนนา พูดแทนใจเราชาว #คั่นกู ไปหมดแล้วคะ ฝากด้วยนะคะ55555 ขอเถอะคะ SS2 คือมันดีไปหมด ดีจริงๆ ดีต่อใจโคตรๆ #2gethertheseries #ไบรท์วิน https://t.co/7rvCFlqwXG,Mon Apr 27 16:21:45 +0000 2020
1254805815778672642,🐢HuyHuy🐲 PS ☁️,สารวัตรจะจูบไทน์ให้ล้ม พี่วีจะจูบมาร์คให้ปากเปื่อย โว้ยยยย ไม่ไหวแล้ว หวีด #คั่นกู  ไม่พอ มาหวีด #ENofLoveรักวุ่นๆของหนุ่มวิศวะ อีก เพิ่งดูไปอีพีเดียว ต้องตามเก็บอีกแล้วสินะ แง,Mon Apr 27 16:13:14 +0000 2020
1254805588254486530,รับทำโปสเตอร์ 35฿,"รับปริ้นรูปโปสเตอร์
A3+ ราคา35฿
ขนาด a4 ราคา25฿
รับทำทุกรูป ไม่มีขั้นต่ำ
Line:@TTH7827F(มี@)
#โปสเตอร์ #รับทำโปสเตอร์ #ของขวัญปีใหม่ #ของขวัญวันเกิด #ของขวัญปัจฉิม #ปัจฉิม #ปัจฉิมนิเทศ #คั่นกู #2getherTheSeries #GOT7_NOTBYETHEMOON #BLACKPINK #คั่นกูEP10 #ทีมเมียสารวัตร #ไบร์ทวิน https://t.co/Pb95pKMEue",Mon Apr 27 16:12:20 +0000 2020
1254805542981169152,รับทำโปสเตอร์ 35฿,"รับปริ้นรูปโปสเตอร์
A3+ ราคา35฿
ขนาด a4 ราคา25฿
รับทำทุกรูป ไม่มีขั้นต่ำ
Line:@TTH7827F(มี@)
#โปสเตอร์ #รับทำโปสเตอร์ #ของขวัญปีใหม่ #ของขวัญวันเกิด #ของขวัญปัจฉิม #ปัจฉิม #ปัจฉิมนิเทศ #คั่นกู #2getherTheSeries #GOT7_NOTBYETHEMOON #BLACKPINK #คั่นกูEP10 #ทีมเมียสารวัตร #ไบร์ทวิน https://t.co/YlIlikaPdP",Mon Apr 27 16:12:09 +0000 2020
1254805492695592962,รับทำโปสเตอร์ 35฿,"รับปริ้นรูปโปสเตอร์
A3+ ราคา35฿
ขนาด a4 ราคา25฿
รับทำทุกรูป ไม่มีขั้นต่ำ
Line:@TTH7827F(มี@)
#โปสเตอร์ #รับทำโปสเตอร์ #ของขวัญปีใหม่ #ของขวัญวันเกิด #ของขวัญปัจฉิม #ปัจฉิม #ปัจฉิมนิเทศ #คั่นกู #2getherTheSeries #GOT7_NOTBYETHEMOON #BLACKPINK #คั่นกูEP10 #ทีมเมียสารวัตร #ไบร์ทวิน https://t.co/sSvsQUIFQx",Mon Apr 27 16:11:57 +0000 2020
1254805414996094977,รับทำโปสเตอร์ 35฿,"รับปริ้นรูปโปสเตอร์
A3+ ราคา35฿
ขนาด a4 ราคา25฿
รับทำทุกรูป ไม่มีขั้นต่ำ
Line:@TTH7827F(มี@)
#โปสเตอร์ #รับทำโปสเตอร์ #ของขวัญปีใหม่ #ของขวัญวันเกิด #ของขวัญปัจฉิม #ปัจฉิม #ปัจฉิมนิเทศ #คั่นกู #2getherTheSeries #GOT7_NOTBYETHEMOON #BLACKPINK #คั่นกูEP10 #ทีมเมียสารวัตร #ไบร์ทวิน https://t.co/7hsaWPCpZj",Mon Apr 27 16:11:38 +0000 2020
1254805339838414856,รับทำโปสเตอร์ 35฿,"รับปริ้นรูปโปสเตอร์
A3+ ราคา35฿
ขนาด a4 ราคา25฿
รับทำทุกรูป ไม่มีขั้นต่ำ
Line:@TTH7827F(มี@)
#โปสเตอร์ #รับทำโปสเตอร์ #ของขวัญปีใหม่ #ของขวัญวันเกิด #ของขวัญปัจฉิม #ปัจฉิม #ปัจฉิมนิเทศ #คั่นกู #2getherTheSeries #GOT7_NOTBYETHEMOON #BLACKPINK #คั่นกูEP10 #ทีมเมียสารวัตร #ไบร์ทวิน https://t.co/NSx24ILAKJ",Mon Apr 27 16:11:20 +0000 2020
1254805308850855936,นุกุกฉามขวบ🦷🍼💜 ғᴛ.ไบร์ทวิน,อยากได้กลุ่มไลน์บ้านพี่วินค้าบ ใครมีลากนุเข้าโหน่ย หนูโดนพี่วินตกไม่ไหว #วินเมธวิน #ไบร์ทวิน #คั่นกู #คั่นกูEP10,Mon Apr 27 16:11:13 +0000 2020
1254805304606220288,รับทำโปสเตอร์ 35฿,"รับปริ้นรูปโปสเตอร์
A3+ ราคา35฿
ขนาด a4 ราคา25฿
รับทำทุกรูป ไม่มีขั้นต่ำ
Line:@TTH7827F(มี@)
#โปสเตอร์ #รับทำโปสเตอร์ #ของขวัญปีใหม่ #ของขวัญวันเกิด #ของขวัญปัจฉิม #ปัจฉิม #ปัจฉิมนิเทศ #คั่นกู #2getherTheSeries #GOT7_NOTBYETHEMOON #BLACKPINK #คั่นกูEP10 #ทีมเมียสารวัตร #ไบร์ทวิน https://t.co/Vb6Uv5lc9u",Mon Apr 27 16:11:12 +0000 2020
1254805298918785026,•.พือแรโอ.•,อันนี้ดียย์ เห็นผ่านโฆษณาในไอจี ใครชอบเสพงานสคราฟบุ๊คเหมือนกัน ไปฟอลโลด IG: 2getherscrapbook #ไบร์ทวิน #คั่นกู #bbrightvc #brightwin https://t.co/mZt3tyhV86,Mon Apr 27 16:11:11 +0000 2020
1254805264663900160,รับทำโปสเตอร์ 35฿,"รับปริ้นรูปโปสเตอร์
A3+ ราคา35฿
ขนาด a4 ราคา25฿
รับทำทุกรูป ไม่มีขั้นต่ำ
Line:@TTH7827F(มี@)
#โปสเตอร์ #รับทำโปสเตอร์ #ของขวัญปีใหม่ #ของขวัญวันเกิด #ของขวัญปัจฉิม #ปัจฉิม #ปัจฉิมนิเทศ #คั่นกู #2getherTheSeries #GOT7_NOTBYETHEMOON #BLACKPINK #คั่นกูEP10 #ทีมเมียสารวัตร #ไบร์ทวิน https://t.co/hUNvhGqOKM",Mon Apr 27 16:11:02 +0000 2020
1254805045201125377,แด๊นนนนนนนนนนน,เป็นคนแปลกๆ เลือกดูหนังหรือซีรีส์จากนางเอกเสมอ เรื่อง #คั่นกู ก็เช่นกัน 55555555555555 จะตกหลุมนางเอกก่อนอ่ะ ทุกเรื่องเลย แล้วค่อยมาทำความรู้จักพระเอก น้องไบร์ทคะ คนอะไรจะเพอร์เฟคขนาดนั้น ตอนน้องร้องสดในเรื่องแบบ เห้ยยยย เสียงนิ่งมากกก รู้สึกอินกับเพลงของสครับมากขึ้นเลย,Mon Apr 27 16:10:10 +0000 2020
1254804916192768000,เรียกตวงไม่ถนัดเรียกสัสก็ได้ค่าบ,อิเวงเอ้ยย #คั่นกู เหลืออีกสามEP แล้วชั้นจะใช้สิ่งใดยึดเหนี่ยวจิตใจช่วงที่ประกาศ curfew ต่อ,Mon Apr 27 16:09:39 +0000 2020
1254804211222503424,แด๊นนนนนนนนนนน,ไม่เคยคิดจะดูซีรีส์วายเลยนะ รู้จัก #คั่นกู แหละ แต่ก็ไม่สนใจเพราะไม่รู้จักนักแสดงทั้งคู่ แต่ช่วงนี้เห็นน้องวินผ่านหน้า TikTok เลยรู้สึกว่า เอ๊ะ หน้าคุ้นๆ น่ารักน่าเอ็นดูจัง เลยลองดูเมื่อคืน ดูจนถึง 6 โมงเช้าอ่ะคิดดู!! ยิ่งดูยิ่งเอ็นดู น้องน่ารักจังเลยค่ะ,Mon Apr 27 16:06:51 +0000 2020
1254803830471974912,พอล’เถอะ™️,เสื้อ #adidas ที่ #สารวัตรไทน์ สวม คือรุ่นไหนครับ #คั่นกู #เพราะเราคู่กัน #2gethertheseries 🙏🏻🙏🏻🙏🏻 https://t.co/FhwkWvmPLI,Mon Apr 27 16:05:20 +0000 2020
1254803687148384256,Marimo,"งอลกันเก่งงงง 😂😂
#ไบร์ทวิน
#bbrigthvc #winmetawin​ #snowballpower​ #คั่นกู #2getherseries  #เพราะเราคู่กัน https://t.co/8Pyj4g71pv",Mon Apr 27 16:04:46 +0000 2020
